design_name,gate_count,net_count,logic_depth,fanout_max,fanout_avg,critical_path_delay_ns,slack_ns,clock_period_ns
adder_4bit_ripple,20,29,4,3,1.67,5.8480,0.0000,10.00
adder_8bit_ripple,38,55,6,3,1.70,7.0140,0.0000,10.00
adder_4bit_cla,20,29,4,3,1.67,5.8480,0.0000,10.00
multiplier_4x4,36,58,5,12,2.67,6.9900,0.0000,10.00
mux_4to1,26,44,3,4,1.15,5.2310,0.0000,10.00
decoder_3to8,20,24,3,8,2.75,5.2570,0.0000,10.00
encoder_8to3,17,25,4,4,1.71,5.8410,0.0000,10.00
comparator_8bit,41,64,4,5,2.22,6.2570,0.0000,10.00
alu_4bit,33,45,5,8,2.49,6.8670,0.0000,10.00
parity_generator_8bit,13,21,4,2,1.26,5.8150,0.0000,10.00
counter_4bit_up,15,18,2,5,2.36,4.0160,0.0000,10.00
counter_8bit_updown,31,47,2,8,2.35,4.0380,0.0000,10.00
shift_register_8bit,20,24,2,8,2.75,4.0160,0.0000,10.00
fsm_sequence_detector,13,16,3,5,2.40,5.2530,0.0000,10.00
traffic_light_controller,28,31,2,10,3.75,4.0160,0.0000,10.00
fifo_8x4,97,107,2,48,3.66,4.0380,0.0000,10.00
lfsr_8bit,20,23,2,8,3.13,4.0160,0.0000,10.00
register_file_4x8,68,83,3,32,2.83,5.2310,0.0000,10.00
pwm_generator,39,54,2,9,2.44,4.0380,0.0000,10.00
gray_counter_4bit,17,20,3,4,2.31,4.6560,0.0000,10.00
